strength_k,diameter,resolution_order,m,eigen_index,real_sigma,imag_sigma,abs_sigma,edge_fraction,radial_roughness
8.0,3.3,40,5,32,4.1321085699726973e-19,-325.540532073487,325.540532073487,0.3160234642642676,1099.6024370065709
8.0,3.3,40,5,33,5.146419646846022e-19,324.80026043357833,324.80026043357833,0.302794100331969,1076.2008501899404
8.0,3.3,40,5,34,9.312480306375025e-19,-300.7952960835738,300.7952960835738,0.11448369637622936,958.6038811693921
8.0,3.3,40,5,35,7.78561424903209e-19,298.57165298637824,298.57165298637824,0.1264517007586522,917.9052962805692
8.0,3.3,40,5,36,-1.0921462254257178e-18,-277.66597079732526,277.66597079732526,0.16518893516505906,920.2071045917734
8.0,3.3,40,5,37,-1.0748736014583244e-18,275.6063995258003,275.6063995258003,0.1624897400603246,875.046632939529
8.0,3.3,40,5,38,-1.8756580537010022e-19,-254.17242220686384,254.17242220686384,0.14453354859601364,834.7465842996565
8.0,3.3,40,5,39,5.830282800324648e-20,252.22046341067417,252.22046341067417,0.14451341785776856,791.7175614446976
8.0,3.3,40,5,40,1.2238768097446721e-18,-232.353151437131,232.353151437131,0.1548753067753831,761.4514454842805
8.0,3.3,40,5,41,1.0882064000395374e-18,230.39486226802222,230.39486226802222,0.15267936771685692,719.8956687054458
8.0,3.3,40,5,42,-6.270707280151614e-19,-211.45584257186772,211.45584257186772,0.16859793441187504,690.0751074118689
8.0,3.3,40,5,43,-7.853515233123301e-19,209.48983459144875,209.48983459144875,0.16616667598763088,650.278742398406
8.0,3.3,40,5,44,-1.0146538756093244e-18,-191.5526040066935,191.5526040066935,0.17543438348483362,622.0543091360714
8.0,3.3,40,5,45,-7.316222539798557e-19,189.60547724300397,189.60547724300397,0.17422046141408531,583.9595544782726
8.0,3.3,40,5,46,1.4079787987373716e-18,-172.7142268563038,172.7142268563038,0.17058292058288912,557.8331599020049
8.0,3.3,40,5,47,1.473455238663654e-18,170.77710762219422,170.77710762219422,0.170751012721165,521.4732986612452
8.0,3.3,40,5,48,1.0824220956503917e-19,-154.8366706543841,154.8366706543841,0.15891794068372697,497.38095417186014
8.0,3.3,40,5,49,-1.3191882397212937e-19,152.90914374036387,152.90914374036387,0.15908065288322767,462.73445270147573
8.0,3.3,40,5,50,-1.7218357688735403e-18,-137.9674941905981,137.9674941905981,0.15033232324055265,440.2065576649098
8.0,3.3,40,5,51,-1.5540396628612194e-18,136.06377111598488,136.06377111598488,0.14922834330576878,407.2144510628213
8.0,3.3,40,5,52,1.1346750888376572e-18,-122.19141184090577,122.19141184090577,0.1538382808862426,386.65908485744023
8.0,3.3,40,5,53,1.3425907872186426e-18,120.30859641339444,120.30859641339444,0.15145538861621774,355.31259562032477
8.0,3.3,40,5,54,1.1158446832576884e-18,-107.38622763638459,107.38622763638459,0.1673645318862673,337.0580537840117
