frame,time,dominant_mode,dominant_amplitude,target_amplitude,shell_fraction,handedness
56,28.0,7,0.9059923329177689,0.9059923329177701,0.998,0.9989974937343359
57,28.5,7,0.9077522894378176,0.9077522894378162,0.9955,1.0
58,29.0,7,0.9085419253454861,0.9085419253454858,0.995,0.9989949748743718
59,29.5,7,0.9083250785232566,0.9083250785232571,0.9955,1.0
60,30.0,7,0.9080743281617271,0.908074328161728,0.997,1.0
61,30.5,7,0.9074715833145107,0.9074715833145105,0.9975,0.9989969909729187
62,31.0,7,0.9087835294892807,0.9087835294892805,0.9955,1.0
63,31.5,7,0.9092299237593708,0.9092299237593714,0.9945,1.0
64,32.0,7,0.9093236120110032,0.9093236120110031,0.9955,0.9989954796584631
65,32.5,7,0.9096124972358611,0.9096124972358617,0.997,1.0
66,33.0,7,0.9097486175457028,0.9097486175457025,0.9935,0.9979859013091642
67,33.5,7,0.9098300909442482,0.9098300909442458,0.9935,0.998992443324937
68,34.0,7,0.910723034542429,0.9107230345424284,0.9915,1.0
69,34.5,7,0.9093483308506487,0.9093483308506509,0.9935,0.9979869149471565
70,35.0,7,0.9070773447755398,0.9070773447755418,0.993,0.9949622166246851
71,35.5,7,0.9071560693265902,0.9071560693265902,0.9905,0.9979808177688037
72,36.0,7,0.9070811166433768,0.9070811166433765,0.987,1.0
73,36.5,7,0.9053891601030636,0.9053891601030637,0.9875,0.9989873417721519
74,37.0,7,0.9048875365327188,0.90488753653272,0.9895,0.9989878542510121
75,37.5,7,0.9041813039417926,0.9041813039417933,0.9875,1.0
76,38.0,7,0.9003948209185484,0.9003948209185484,0.985,1.0
77,38.5,7,0.8960872974596036,0.8960872974596049,0.9765,0.9969230769230769
78,39.0,7,0.890759590269224,0.8907595902692238,0.979,0.9969325153374233
79,39.5,7,0.8838078884943898,0.8838078884943916,0.983,0.9959246051961284
80,40.0,7,0.8742426139544789,0.8742426139544788,0.9865,0.9989827060020345
81,40.5,7,0.8642964309976487,0.864296430997649,0.9855,0.9979654120040692
82,41.0,7,0.8618909500174432,0.8618909500174428,0.9795,0.99591211037302
83,41.5,7,0.8499345322057092,0.8499345322057091,0.9805,0.9979581419091373
84,42.0,7,0.8374203704765297,0.8374203704765301,0.9795,0.99795605518651
85,42.5,7,0.8138682055316613,0.8138682055316613,0.9815,0.9979550102249489
