diameter,coupling,m,n_radial,quadrature_factor,real,imag,abs_sigma,residual,normalization_error,accessible_area_center,accessible_area_wall
3.3,20.75,8,32,8,1.2792260711132991e-18,78.97630764888038,78.97630764888038,3.218150212557788e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-2.7403070717433695e-18,-73.00077277326197,73.00077277326197,1.976444958364874e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-3.013883671825723e-18,72.25338450942361,72.25338450942361,3.165982917749305e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-2.6144933293372634e-19,-66.73478761248272,66.73478761248272,2.2112455542733054e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,3.632887550890693e-19,66.02861322921719,66.02861322921719,2.6695564195391935e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,2.8408458261428498e-18,-60.83683998877015,60.83683998877015,2.1488275556069936e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,2.4980863183394e-18,60.17031480407412,60.17031480407412,3.699098478026717e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-2.4202358142667977e-18,-55.245155869656536,55.245155869656536,2.369228446921929e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-1.8703925556571997e-18,-50.0920391996834,50.0920391996834,3.0155487470772474e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-5.19111025118509e-18,54.642637622632314,54.642637622632314,5.750089684437012e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,3.889163522030613e-18,-45.352334408730556,45.352334408730556,2.939709959355075e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-2.060711974859366e-18,-40.96513622161889,40.96513622161889,3.0140672541928115e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
