diameter,coupling,m,n_radial,quadrature_factor,real,imag,abs_sigma,residual,normalization_error,accessible_area_center,accessible_area_wall,matched_real_high,matched_imag_high,resolution_shift,n_radial_high
3.3,20.75,8,24,8,-9.360664436510891e-18,-55.343101160003904,55.343101160003904,5.0490248470148956e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-2.4202358142667977e-18,-55.245155869656536,0.09794529034736854,32
3.3,20.75,8,24,8,6.647465718502029e-17,60.381100369250326,60.381100369250326,1.739982153449532e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,2.4980863183394e-18,60.17031480407412,0.2107855651762094,32
3.3,20.75,8,24,8,-6.738556778718465e-17,-50.04354927751121,50.04354927751121,2.950330624098094e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-1.8703925556571997e-18,-50.0920391996834,0.048489922172187505,32
3.3,20.75,8,24,8,-2.7248294784622405e-17,-45.35054351129268,45.35054351129268,1.1433176942390053e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,3.889163522030613e-18,-45.352334408730556,0.0017908974378784137,32
3.3,20.75,8,24,8,3.1820089765651656e-17,-40.96721545545622,40.96721545545622,5.398816222372084e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-2.060711974859366e-18,-40.96513622161889,0.0020792338373283314,32
3.3,20.75,8,24,8,4.2251777156422686e-17,-36.972481599074364,36.972481599074364,4.7175675164354097e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-4.148745569837794e-18,-36.972661238945975,0.0001796398716109593,32
3.3,20.75,8,24,8,-1.219736550811447e-16,-33.30763164077608,33.30763164077608,4.2482742185862696e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,6.245796563955864e-18,-33.30760428124314,2.7359532943194154e-05,32
3.3,20.75,8,24,8,-2.7843090910005447e-16,-30.172757956984174,30.172757956984174,6.695283292601799e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-3.7426000205048296e-18,-30.172666682276432,9.127470774217272e-05,32
3.3,20.75,8,24,8,-4.1742776248185114e-16,-27.360067750470108,27.360067750470108,6.473250412349659e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-8.952233772615144e-18,-27.360132630472993,6.488000288484841e-05,32
3.3,20.75,8,24,8,-1.1089061495406615e-15,-17.614275232787477,17.614275232787477,1.1092328044264614e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,4.171105014077683e-18,-19.824382052698475,2.2101068199109974,32
3.3,20.75,8,24,8,3.122045682183197e-16,-19.820259047037325,19.820259047037325,1.0916217610302221e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,4.171105014077683e-18,-19.824382052698475,0.004123005661149648,32
3.3,20.75,8,24,8,-4.416263339270199e-16,-24.404119038452233,24.404119038452233,8.496606460901531e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,2.0614263593921827e-17,-24.404106343984136,1.2694468097151912e-05,32
3.3,20.75,8,24,8,2.2095097301060885e-18,54.58345565837092,54.58345565837092,4.5976452852728813e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-5.19111025118509e-18,54.642637622632314,0.05918196426139133,32
3.3,20.75,8,24,8,4.984524519215498e-17,49.55253451658705,49.55253451658705,5.677109359371769e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,7.789462389887867e-19,49.56874211042054,0.016207593833485134,32
3.3,20.75,8,24,8,-2.724579976595931e-17,44.89765741133442,44.89765741133442,2.0418881313871037e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,3.769685945972721e-18,44.89725480455942,0.0004026067750046991,32
3.3,20.75,8,24,8,1.182288527367983e-15,-10.527979756886861,10.527979756886861,1.8437169893950033e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-1.1629569056758468e-17,-10.52800844230276,2.8685415898621613e-05,32
3.3,20.75,8,24,8,9.474833120526878e-18,40.60735292320059,40.60735292320059,6.859170980150373e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-3.2016355448037665e-18,40.606189334361,0.0011635888395886695,32
3.3,20.75,8,24,8,2.0869718909717757e-16,36.723588777001225,36.723588777001225,5.761352265420458e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-4.046399900173158e-18,36.724108258946686,0.0005194819454601429,32
3.3,20.75,8,24,8,-8.342800900844907e-16,33.163536781897974,33.163536781897974,4.6490350515598406e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,6.313190368764788e-18,33.16330498647867,0.00023179541930318237,32
3.3,20.75,8,24,8,-1.7238426825665275e-15,30.179346177536015,30.179346177536015,4.711377426271228e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-4.6124449710368746e-18,30.179247550618747,9.862691726780781e-05,32
3.3,20.75,8,24,8,6.978152378920222e-16,22.15376061938392,22.15376061938392,2.0199349987252396e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-2.567518712000738e-17,23.717413666216572,1.563653046832652,32
3.3,20.75,8,24,8,-1.9005535181395247e-15,27.60793795274233,27.60793795274233,4.785054949480181e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-1.360838903681119e-17,27.608104508328584,0.00016655558625444655,32
3.3,20.75,8,24,8,-1.9061328891951938e-15,24.9344785007612,24.9344785007612,7.4029682862551e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,5.377091431680287e-18,24.934396979790918,8.15209702835773e-05,32
3.3,20.75,8,24,8,1.871211102380071e-15,23.71741781100412,23.71741781100412,1.8343353426885907e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-2.567518712000738e-17,23.717413666216572,4.144787546067619e-06,32
3.3,20.75,8,24,8,-1.0969681318689889e-15,1.45226546160265,1.45226546160265,3.94022949322584e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-1.3824516024004533e-17,0.9217785558972326,0.5304869057054175,32
3.3,20.75,8,24,8,1.0476613436908802e-12,0.021604733091496506,0.021604733091496506,2.0614233422181799e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,9.720665085100931e-15,0.02189956596133961,0.0002948328698431056,32
3.3,20.75,8,24,8,-6.884760501635452e-13,-0.019303900330487525,0.019303900330487525,9.622355487501076e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-3.157133320064351e-14,-0.019955568570050902,0.0006516682395633772,32
3.3,20.75,8,24,8,-4.0027423417849446e-13,-0.0080689254784846,0.0080689254784846,2.3202168982693115e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-3.3415701589323155e-13,-0.007822604458920045,0.00024632101956455557,32
3.3,20.75,8,24,8,-0.0017087627976302448,0.005017638667943048,0.005300619595915408,4.610302831463383e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-0.0012530293966150912,0.0014585424224404153,0.003588155378122828,32
3.3,20.75,8,24,8,0.0017087627976359089,0.005017638668141756,0.005300619596105334,4.698972474710571e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,0.0012530293981874799,0.0014585424248524058,0.00358815537572848,32
3.3,20.75,8,24,8,-0.004629227277492774,0.0008273703040799587,0.004702582993074819,2.2812787682312477e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-0.0021217405721416886,-0.0007364055138758064,0.002955145408661926,32
3.3,20.75,8,24,8,0.0046292272775313925,0.0008273703040838196,0.0047025829931135145,2.204578453841025e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,0.0021217405709892632,-0.0007364055187210743,0.0029551454122385616,32
3.3,20.75,8,24,8,7.996427462967873e-14,-0.0034361162700598568,0.0034361162700598568,7.34338994105048e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-0.00013579235539776816,-0.001034458547385458,0.002405493583588984,32
3.3,20.75,8,24,8,-0.001291813243887367,0.0015834675438623355,0.002043563289831812,3.849444875731368e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-0.0012530293966150912,0.0014585424224404153,0.00013080700581972178,32
3.3,20.75,8,24,8,0.0012918132438153266,0.001583467543792039,0.002043563289731803,3.820093312922347e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,0.0012530293981874799,0.0014585424248524058,0.0001308070029614858,32
3.3,20.75,8,24,8,-0.0015374406267279028,-0.0009194190064034997,0.0017913835407442722,5.365278750247329e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-0.0021217405721416886,-0.0007364055138758064,0.0006122910783750954,32
3.3,20.75,8,24,8,0.0015374406248980395,-0.0009194190059815594,0.0017913835389572477,5.1827154585866036e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,0.0021217405709892632,-0.0007364055187210743,0.000612291077447198,32
3.3,20.75,8,24,8,0.00042787426309762736,-0.0014898132328390007,0.0015500386620221872,2.3243471660806148e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,0.00013579235281179443,-0.0010344585471588584,0.0005409803435311514,32
