diameter,coupling,alpha_over_pi,speed,omega,interaction_radius,radial_points,mode_min,mode_max,edge_threshold,frequency_cutoff,selected_mode,max_edge_real_part,selected_imaginary_part,selected_edge_weight,selected_centroid_over_R,selected_eigenvector_condition,maximum_real_part_any_mode
3.3,20.75,0.5,3.0,0.0,1.0,72,3,20,0.5,100.0,10,0.00018485499857471353,-0.0002245276889524884,0.541214274517257,0.7634247053999877,9.585923391977296,0.0002791054948653589
3.3,20.75,0.5,3.0,0.0,1.0,88,3,20,0.5,100.0,5,8.754416313205203e-05,-0.00027480661080532743,0.5308603152621522,0.8136656234829381,8.839541544504034,0.5795346719031759
3.3,40.0,0.5,3.0,0.0,1.0,40,3,20,0.5,100.0,8,0.0002526082116306122,-0.00038300823728658904,0.5194508597823891,0.7119264849151893,8.375410543248014,0.0065152790684273034
3.3,40.0,0.5,3.0,0.0,1.0,56,3,20,0.5,100.0,19,4.317965508961559e-05,5.335945762687085e-05,0.6067733141565187,0.7696402804060073,17.341135176915575,0.3212422947911455
3.3,40.0,0.5,3.0,0.0,1.0,72,3,20,0.5,100.0,7,0.00015378199968728973,0.0008855857742951501,0.5709501295687726,0.7669858508586995,20.70489482043111,0.3292248044064362
3.3,40.0,0.5,3.0,0.0,1.0,88,3,20,0.5,100.0,8,0.00016574702148807832,-0.0005248710696444183,0.637603264205754,0.8160563584057595,12.787047858452745,0.33340818331621536
4.58,8.0,0.5,3.0,0.0,1.0,40,3,20,0.5,100.0,3,0.000957167691343729,0.00011930455754052572,0.6735562506985211,0.9117610516190332,13.902824458569874,0.5918157142362791
4.58,8.0,0.5,3.0,0.0,1.0,56,3,20,0.5,100.0,3,0.0002470135543837049,-0.0006631000620446682,0.6362691051453072,0.9035456906069822,26.044656963759707,0.0002470135543837049
4.58,8.0,0.5,3.0,0.0,1.0,72,3,20,0.5,100.0,3,0.00034098795239931095,-0.0006318668823319247,0.6312601472129548,0.901519898101606,17.832386949420137,1.2252360777132199
4.58,8.0,0.5,3.0,0.0,1.0,88,3,20,0.5,100.0,5,0.000141858227696125,1.1708079289421588e-05,0.765883094776852,0.9292536694216406,18.931983667255974,0.7217050841121585
4.58,12.0,0.5,3.0,0.0,1.0,40,3,20,0.5,100.0,5,0.001182844650999472,-0.00042572209461243303,0.5580821411637219,0.8505416217729654,9.077565366677964,0.001182844650999472
4.58,12.0,0.5,3.0,0.0,1.0,56,3,20,0.5,100.0,13,0.00019491627220510972,-0.0005859140060278865,0.5837428057238359,0.8436661329320492,29.11236541660053,0.00043632647640897283
4.58,12.0,0.5,3.0,0.0,1.0,72,3,20,0.5,100.0,8,0.000349465802255507,0.00032133237038829335,0.6080778263918056,0.8799059831991439,15.687113114191552,0.5985344414361541
4.58,12.0,0.5,3.0,0.0,1.0,88,3,20,0.5,100.0,8,0.0002449517449641225,-3.733565883117394e-05,0.540563167168337,0.8657869540859451,7.303067393552089,0.5057062307034244
4.58,20.75,0.5,3.0,0.0,1.0,40,3,20,0.5,100.0,4,1.1588210714310647e-08,5.840380090116591e-08,0.6141911435986672,0.8598777966878901,59.00311776195785,0.058159039364820156
4.58,20.75,0.5,3.0,0.0,1.0,56,3,20,0.5,100.0,12,0.00022487990608902639,0.0014998989251085192,0.5072304175360919,0.8055259961732674,22.16245193230183,0.14471731062459406
4.58,20.75,0.5,3.0,0.0,1.0,72,3,20,0.5,100.0,7,0.0004531727832186945,0.00012701076291288021,0.5443112344710673,0.842376074932674,16.097017569025688,0.23968613738064945
4.58,20.75,0.5,3.0,0.0,1.0,88,3,20,0.5,100.0,5,0.0003318239513214877,6.9824443676441e-05,0.5749109774458999,0.8825597867292628,11.619408948084551,0.6531949881108725
4.58,40.0,0.5,3.0,0.0,1.0,40,3,20,0.5,100.0,16,6.117111721358747e-12,0.0001541639993907699,0.5822880667358772,0.8163907774400729,10.126168005936247,0.01223024628827268
4.58,40.0,0.5,3.0,0.0,1.0,56,3,20,0.5,100.0,19,0.0592898886324929,-34.23912296336202,0.9994615536054778,0.9913704137262912,65.12267344715924,0.11722024966900943
4.58,40.0,0.5,3.0,0.0,1.0,72,3,20,0.5,100.0,8,9.029216707789625e-10,-7.223617687456405e-10,0.526043239285277,0.7727645477093892,282.1362811924096,0.05942355645812997
4.58,40.0,0.5,3.0,0.0,1.0,88,3,20,0.5,100.0,5,1.158580945422683e-09,1.0146556430654295e-09,0.5064731046461485,0.8221927907753682,90.91734011676829,0.14772919052309869
